"ag_id","groupname","year","ag_irrelevant_flag","ag_monop_flag","ag_dominant_flag","ln_ag_area_sqkm","ag_pop","ln_ag_pop","ag_egip_share","ag_excl_share","ag_rlvt_share","ag_irrlvt_share","ag_up2jun_share","ag_excl_incr","ag_excl_decr","ag_onset_ko_flag","ag_onset_ko_terr_flag","ag_onset_ko_gov_flag","ag_incidence_flag","ag_incidence_terr_flag","ag_incidence_gov_flag","ag_incidence_flag_lag","ag_incidence_terr_flag_lag","ag_incidence_gov_flag_lag","ag_warhist","ag_peaceyears","ag_warhist_terr","ag_peaceyears_terr","ag_warhist_gov","ag_peaceyears_gov"
23501000,"Portuguese",1981,0,1,0,16.9631822586434,9855960,6.993698932258,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,35
20003000,"Asians",1950,1,0,0,,1403890,6.14733308053985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4
20004000,"Afro-Caribbeans",1950,1,0,0,,1002780,6.00120566356275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4
22003000,"Corsicans",1971,0,0,0,15.943275005413,209330,5.32083147344524,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
20007000,"Protestants In N. Ireland",1999,0,0,0,15.7185329764871,586710,5.76842349047951,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53,0,53
23002000,"Catalans",1984,0,0,0,16.6760576909411,6479440,6.81153747262687,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,0,38
23501000,"Portuguese",1982,0,1,0,16.9631822586434,9905700,6.99588517097962,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,36
20003000,"Asians",1951,1,0,0,,1408460,6.14874451761505,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5
22003000,"Corsicans",1972,0,0,0,15.943275005413,211010,5.32430303748683,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,26
20003000,"Asians",1952,1,0,0,,1412380,6.14995155910974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6
20007000,"Protestants In N. Ireland",2000,0,0,0,15.7185329764871,588740,5.7699235435226,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54,0,54
23002000,"Catalans",1985,0,0,0,16.6760576909411,6502470,6.81307835719786,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0,39
23501000,"Portuguese",1983,0,1,0,16.9631822586434,9937390,6.99727233435309,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,37
22003000,"Corsicans",1973,0,0,0,15.943275005413,212670,5.32770623107169,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
23501000,"Portuguese",1984,0,1,0,16.9631822586434,9955000,6.99804126436343,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,0,38
20003000,"Asians",1953,1,0,0,,1416950,6.1513545255423,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7
20004000,"Afro-Caribbeans",1951,1,0,0,,1006040,6.00261524854687,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5
20007000,"Protestants In N. Ireland",2001,0,0,0,15.7185329764871,590970,5.77156543491654,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,0,55
23002000,"Catalans",1986,0,0,0,16.6760576909411,6521090,6.81432019410926,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,40
22003000,"Corsicans",1974,0,0,0,15.943275005413,214210,5.33083974120847,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,28
